Sp;forag;diet;nest;migr;date;home;eggs;mass;sti;ssi
sp1;under;insect;shrub;resid;march;small;7;7.8;12.660752;2.663
sp2;ground;mixed;ground;short;earlapr;small;3.5;38.6;12.19832;3.314
sp3;ground;mixed;ground;resid;may;large;12;475;14.807506;6.892
sp4;ground;insect;ground;long;lateapr;mid;5;21.6;11.243935;2.544
sp5;ground;mixed;ground;resid;earlapr;large;9;375;9.7370954847885;5.471
sp6;under;seeds;shrub;short;lateapr;small;5;15.8;13.454244;3.221
sp7;under;seeds;shrub;resid;earlapr;mid;5;28;12.6006224965813;3.221
sp8;canopy;seeds;tree;short;lateapr;mid;5;12;10.242517;9.849
sp9;bark;insect;cavity;resid;earlapr;small;5;8.8;13.897298;2.917
sp10;bark;insect;cavity;resid;lateapr;small;5.5;9.5;11.119463;2.854
sp11;canopy;mixed;tree;short;lateapr;large;5.5;55;12.976348;2.908
sp12;ground;seeds;cavity;short;lateapr;large;2;295;12.435817;2.052
sp13;ground;seeds;tree;short;lateapr;large;2;507;12.221421;2.626
sp14;ground;mixed;tree;resid;earlapr;large;4;509;12.1293990446448;2.938
sp15;ground;mixed;tree;resid;march;large;5;1145;11.737841;3.979
sp16;canopy;insect;ground;long;june;large;10;115;12.139439;1.833
sp17;bark;insect;cavity;resid;lateapr;large;4;107;11.4358853032123;4.7385
sp18;bark;insect;cavity;resid;earlapr;large;5;79;12.115428;2.94
sp19;bark;insect;cavity;resid;lateapr;large;4.5;65;13.244897;4.363
sp20;bark;insect;cavity;resid;lateapr;large;4;325;11.119396;5.114
sp21;ground;mixed;ground;resid;lateapr;small;4.5;25;14.420405;2.989
sp22;ground;mixed;ground;resid;may;small;3.5;25;15.054509;2.807
sp23;ground;mixed;ground;resid;may;small;3.5;26;11.552844;3.3
sp24;under;mixed;ground;short;lateapr;mid;5;19;11.998446;2.477
sp25;canopy;insect;cavity;long;may;small;6.5;14;13.060432;3.595
sp26;canopy;insect;cavity;long;may;small;6.5;12;10.42751;4.358
sp27;canopy;insect;cavity;long;june;small;5.5;9.5;11.598567;3.9765
sp28;canopy;mixed;tree;short;earlapr;small;4.5;21.8;12.295163;2.77
sp29;prober;mixed;ground;short;lateapr;large;3.5;100;10.267047;5.627
sp30;under;mixed;tree;resid;earlapr;large;4.5;167;12.466781;3.55
sp31;prober;insect;cavity;long;earlapr;mid;9;33.4;11.881254;3.903
sp32;canopy;seeds;tree;short;march;large;3.5;40;10.494318;7.031
sp33;ground;insect;ground;resid;march;mid;4;30;13.471975;2.54
sp34;under;insect;ground;long;lateapr;mid;4.5;21;14.494878;2.575
sp35;ground;mixed;ground;resid;june;large;8;1300;8.99648052606734;3.544
sp36;canopy;insect;cavity;long;june;small;4.5;14.5;12.149222;2.303
sp37;canopy;insect;tree;long;june;large;3.5;68;13.470716;2.514
sp38;canopy;insect;cavity;short;may;small;9;9;11.904567;3.604
sp39;canopy;insect;cavity;short;earlapr;small;9;10.9;12.736747;3.099
sp40;canopy;mixed;cavity;resid;earlapr;mid;5;12;11.711803;6.892
sp41;canopy;insect;cavity;resid;earlapr;small;8;18.6;12.343728;2.436
sp42;canopy;mixed;cavity;resid;may;small;7.5;10.5;10.195789;3.143
sp43;canopy;mixed;cavity;resid;may;small;8.5;10.5;12.325139;3.72
sp44;canopy;insect;cavity;long;may;mid;6.5;14.2;11.309849;2.385
sp45;canopy;insect;ground;long;may;small;5;9;13.86086;3.082
sp46;canopy;insect;ground;short;lateapr;small;5.5;7.7;11.946589;2.892
sp47;canopy;insect;ground;long;june;small;5;8;9.761713;3.74
sp48;canopy;insect;ground;long;june;small;6;9;10.45967;3.74
sp49;canopy;insect;ground;long;june;small;6;11.5;11.375591;2.905
sp50;prober;insect;cavity;resid;june;large;8;145;12.060575;4.339
sp51;prober;insect;cavity;resid;lateapr;large;5;189;12.941369;2.364
sp52;ground;insect;ground;short;lateapr;small;4;21.2;10.908337;2.069
sp53;under;seeds;tree;resid;may;mid;4.5;22.5;10.756295;3.684
sp54;prober;mixed;cavity;resid;lateapr;large;4;320;14.329098;3.584
sp55;canopy;insect;tree;resid;may;small;8.5;5.4;13.199944;3.263
sp56;canopy;insect;tree;short;may;small;10.5;6;10.807515;4.795
sp57;ground;seeds;tree;short;lateapr;mid;4.5;12.5;11.353153;5.507
sp58;ground;seeds;tree;short;may;small;3.5;12;13.88142;2.419
sp59;bark;insect;cavity;resid;lateapr;mid;6.5;22;12.7946675987073;3.22
sp60;prober;mixed;cavity;short;earlapr;mid;4.5;85;11.80276;3.1
sp61;under;mixed;shrub;short;lateapr;small;4.5;17.7;12.619237;2.641
sp62;under;mixed;shrub;long;june;small;4.5;19.5;11.316342;2.931
sp63;under;insect;shrub;long;may;small;3.5;11;16.421544;5.533
sp64;under;insect;shrub;long;june;small;5;13;11.639929;2.472
sp65;prober;insect;ground;short;may;large;4;155;6.450531;3.544
sp66;prober;insect;tree;short;may;large;4;80;9.87852;4.289
sp67;ground;insect;ground;resid;may;small;5.5;9.9;12.236825;2.155
sp68;prober;mixed;shrub;short;lateapr;mid;5;65;8.250964;3.291
sp69;prober;mixed;shrub;short;march;mid;4;102;12.58434;2.234
sp70;prober;mixed;tree;short;march;mid;4;75;11.39567;2.511
sp71;prober;mixed;tree;short;earlapr;mid;5.5;110;10.028713;4.847
sp72;prober;mixed;tree;short;march;mid;4;126;11.914704;3.143
sp73;prober;insect;cavity;long;lateapr;large;6.5;68.8;14.179419;2.555