Sp;Type_Bio;Dispersal;Plant_classes;Plant_Height;Seed_Weight;SLA;Germination_Date;Germination_Duration;Flowering_Date;Flowering Duration
sp1;Th;Grav;Bl;20;1.1;33.64351662125;7;3;6;5
sp2;Geo;Anim;Gr;100;2.79076923076923;27.0110141515152;7;3;6;4
sp3;Th;Grav;Gr;70;2.33;24.125;1;3;4;4
sp4;Th;Grav;Bl;30;0.38;29.8291666666667;7;3;5;7
sp5;Th;Grav;Bl;60;1.2;45.07635341875;1;6;3;6
sp6;Th;Grav;Bl;100;0.3;22.4;1;6;5;3
sp7;Th;Wind;Gr;100;0.12;18.8;4;3;6;3
sp8;Th;Grav;Bl;20;0.23;33.8090909090909;4;3;4;4
sp9;Th;Wind;Bl;30;0.02;19.9823529411765;1;3;3;5
sp10;Th;Wind;Bl;80;0.98;19.5910714285714;7;3;7;4
sp11;Th;Anim;Gr;150;26.22;30.0838709677419;1;6;5;2
sp12;Th;Anim;Gr;92;4.66;22.7923724489796;1;6;4;4
sp13;Th;Grav;Bl;150;4.4;24.805;1;3;4;2
sp14;Th;Grav;Bl;150;1.15;26.6203770554546;1;6;6;4
sp15;Geo;Grav;Bl;300;31.3;36.0695512007692;7;6;5;5
sp16;Th;Wind;Bl;40;0.13;31.1107469065;0;12;3;10
sp17;Th;Wind;Bl;27.5;2.79076923076923;22.7140347884454;0;12;4;4
sp18;Th;Grav;Bl;100;0.8;17.99;7;6;6;5
sp19;Geo;Wind;Bl;120;1.2;14.4096078431373;1;6;7;3
sp20;Geo;Grav;Bl;100;10.35;27.3130434782609;7;3;5;6
sp21;Geo;Anim;Bl;100;2.79076923076923;17.531740642;7;3;5;3
sp22;Th;Anim;Bl;80;1.09;20.5833802834615;1;6;5;6
sp23;Th;Anim;Bl;50;2.8;33.2916666666667;0;12;4;8
sp24;Hcr;Wind;Bl;100;2.79076923076923;15.9;7;9;6;4
sp26;Th;Wind;Bl;20;2.79076923076923;32.2940083733333;1;6;2;2
sp27;Th;Anim;Bl;60;2.56;23.4777777777778;0;12;4;6
sp28;Th;Anim;Bl;100;8.34;39.8823076923077;1;3;6;5
sp29;Th;Grav;Bl;50;2.64;23.1789473684211;1;3;5;4
sp30;Th;Grav;Bl;30;2.22;28.4723420197275;1;3;4;6
sp31;Th;Grav;Bl;200;2.79076923076923;17.53;7;3;6;4
sp32;Th;Anim;Gr;40;2.79076923076923;17.8693632225;1;9;4;6
sp33;Th;Wind;Bl;200;0.71;15.1;1;3;7;2
sp34;Th;Grav;Bl;30;0.64;19.7;0;12;3;8
sp35;Th;Anim;Bl;30;0.76;37.835;0;12;3;7
sp36;Th;Grav;Bl;125;1.04;48.2363636363636;1;3;6;3
sp37;Th;Anim;Bl;30;0.19;25.7;1;6;5;3
sp38;Th;Grav;Gr;90;2.22;27.9402272727273;0;12;5;6
sp39;Th;Grav;Bl;50;0.07;28.4723420197275;1;6;5;6
sp40;Th;Grav;Bl;120;0.3;22.7625;1;6;5;5
sp41;Th;Anim;Bl;40;2.5;48.0729499542105;10;3;4;8
sp42;Th;Anim;Bl;40;0.29;29.38;4;3;4;6
sp43;Hcr;Grav;Bl;40;0.2;35.75;7;3;6;5
sp44;Th;Wind;Bl;90;0.11;33.07;1;9;5;3
sp45;Hcr;Wind;Bl;150;2.79076923076923;29.4375;1;3;6;4
sp46;Hcr;Wind;Bl;150;0.8;27.55;1;3;7;3
sp47;Hcr;Grav;Bl;80;1.8;20.1282296485714;1;9;4;7
sp48;Th;Grav;Gr;30;0.3;36.056610209537;0;12;1;12
sp49;Th;Grav;Gr;100;0.17;31.7095238095238;0;12;4;4
sp50;Th;Grav;Bl;60;2.07;31.9173913043478;7;3;5;7
sp51;Th;Wind;Bl;100;7.1;29.1486486486486;7;3;6;5
sp52;Th;Grav;Bl;60;2.5;22.66180507625;7;3;7;3
sp53;Th;Grav;Bl;60;2.79076923076923;24.7645652173913;7;3;7;3
sp54;Th;Grav;Bl;30;0.3;19.46459859375;7;6;5;5
sp55;Th;Anim;Bl;60;2.79076923076923;27.4;1;6;4;4
sp56;Th;Wind;Bl;40;1.47;34.36310944;1;9;5;4
sp57;Th;Grav;Bl;80;17.52;25.633333;0;12;5;3
sp58;Th;Grav;Bl;30;0.4;32.05202468;1;3;5;3
sp59;Hcr;Wind;Bl;100;0.7;29.8262044697778;1;6;5;4
sp60;Hcr;Wind;Bl;80;1.4;24.0968841416667;0;12;6;3
sp61;Hcr;Anim;Bl;100;1.25;29.4838709677419;0;12;6;4
sp62;Th;Wind;Bl;40;0.28;33.8833333333333;0;12;1;12
sp63;Th;Grav;Bl;100;1.7;39.0088888888889;0;12;5;5
sp64;Th;Anim;Bl;100;0.74;23.99375;10;3;6;6
sp65;Th;Wind;Bl;150;0.34;26.1421052631579;0;12;3;6
sp66;Th;Wind;Bl;80;0.3;40.4223744025;0;12;3;5
sp67;Th;Wind;Bl;40;0.4;18.882222222;1;6;3;4
sp68;Th;Grav;Bl;30;0.48;53.7975609756097;0;12;1;12
sp69;Hcr;Wind;Bl;50;0.65;28.5055963026316;0;12;1;12
sp70;Th;Grav;Bl;25;0.1;27.8573253151136;0;12;3;8
sp71;Th;Anim;Bl;60;3.01;21.8;1;6;3;8
sp72;Th;Anim;Bl;80;0.57;40.6909090909091;0;12;3;8
sp73;Th;Anim;Bl;50;0.3;27.35;1;6;2;5
sp74;Th;Grav;Bl;100;18.1;25.1963496209524;1;6;4;4
sp75;Th;Anim;Bl;40;0.5;24.32;0;12;4;4
sp76;Th;Grav;Bl;60;0.6;35.3800795957576;1;9;4;3