UniqueID;Relative.Adult.Mobility;Estimated.Max.Body.Size;Gregariousness;Foundation.Species;Habitat.Complexity;Abundance;Chemosynthesis.Obligate;Position.of.Symbiont;Min.Depth.Range.Lower.Bound;Min.Depth.Range.Upper.Bound;Max.Depth.Range.Lower.Bound;Max.Depth.Range.Upper.Bound;Substratum;Zonation.From.Vent;Nutritional.Source;Trophic.Mode
Par434;3;10;Never;No;Does not add;High;Vent;None;1500;2000;3000;3500;Hard;Low;Sediment or rock surface;Detritivore
Par435;3;NA;NA;NA;NA;NA;Vent;NA;1000;1500;1000;1500;NA;NA;NA;NA
Par436;2;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Par437;3;100;Sometimes;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Low;Fauna;Carnivore S
Par438;4;100;NA;No;Does not add;Low;Vent;NA;500;1000;500;1000;NA;High;Fauna;NA
Par439;3;100;NA;NA;NA;NA;Vent;None;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
Par440;2;100;Always;No;Burrow forming;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Par441;2;100;Always;No;Burrow forming;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Par442;2;100;Always;No;Mat forming;High;Vent;None;1000;1500;2500;3000;Hard;High;Sediment or rock surface;Detritivore
Par443;2;100;Always;No;Burrow forming;Low;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Par444;2;10;Always;No;Burrow forming;High;Vent;None;1000;1500;3500;4000;Hard;High;Symbiont;Detritivore
Par445;3;100;Always;No;Open bush forming;High;Vent;None;1500;2000;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Par446;2;100;Always;No;Burrow forming;High;Vent;None;1500;2000;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Par447;2;100;Always;Yes;Burrow forming;High;Vent;None;1500;2000;3000;3500;Hard;High;Sediment or rock surface;Detritivore
Par448;2;100;Always;No;Mat forming;High;Vent;None;1000;1500;2500;3000;Hard;High;Sediment or rock surface;Detritivore
Par449;3;100;Always;Yes;Mat forming;High;Vent;NA;2000;2500;2000;2500;Soft;Low;Sediment or rock surface;NA
Par450;1;100;Always;NA;NA;NA;Vent;None;2000;2500;2000;2500;Soft;High;Fauna;Carnivore O
Par451;2;10;NA;NA;NA;NA;Vent;None;1000;1500;3000;3500;Hard;Low;Fauna;Carnivore S
Par452;2;10;Never;No;Burrow forming;Low;No;None;1000;1500;1000;1500;Soft;Medium;Water column;Detritivore
Par453;4;10;Never;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Medium;Fauna;Detritivore
Par454;3;100;NA;NA;NA;NA;No;NA;0;500;500;1000;Soft;NA;Fauna;Carnivore S
Par455;3;10;NA;No;NA;NA;Vent;None;NA;NA;NA;NA;NA;High;Fauna;Carnivore O
Pau456;3;100;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Pav457;3;100;Always;Yes;Mat forming;High;Vent;NA;2000;2500;2000;2500;Soft;Low;Sediment or rock surface;NA
Pei458;3;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;NA;NA;NA;NA
Pel459;3;10;NA;No;Does not add;NA;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Detritivore
Pel460;3;10;NA;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;Hard;High;Sediment or rock surface;Detritivore
Pel461;3;100;Never;No;Does not add;Low;Vent;None;1500;2000;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Pel462;3;10;Never;No;Does not add;Low;Vent;None;500;1000;1500;2000;Hard;Low;Sediment or rock surface;Detritivore
Phr463;3;1000;Always;Yes;Bed forming;High;Other CBE;Endosymbiont;1000;1500;1000;1500;Soft;Low;Symbiont;Bacterivore
Phr464;3;1000;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;1000;1500;1500;2000;Soft;Low;Symbiont;Bacterivore
Phr465;2;100;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;2000;2500;Soft;Low;Symbiont;Bacterivore
Phr466;3;1000;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;2000;2500;Soft;Low;Symbiont;Bacterivore
Phy467;NA;100;NA;NA;NA;High;Vent;None;4000;4500;4000;4500;Soft;NA;Water column;Detritivore
Phy468;3;100;Never;No;Does not add;Low;Vent;None;3000;3500;4000;4500;Hard;Low;Sediment or rock surface;Detritivore
Phy469;3;100;NA;NA;NA;NA;Vent;NA;2000;2500;2000;2500;NA;Low;Fauna;Carnivore O
Phy470;3;100;Never;No;Does not add;Low;Vent;None;2000;2500;4000;4500;Hard;Low;Sediment or rock surface;Detritivore
Phy471;3;100;Never;No;Does not add;Low;No;None;1500;2000;4000;4500;Hard;Low;Sediment or rock surface;Detritivore
Phy472;3;100;Sometimes;No;Does not add;High;Vent;None;2000;2500;3000;3500;Hard;Medium;Sediment or rock surface;Carnivore O
Phy473;3;100;Never;No;Does not add;Low;Vent;None;2500;3000;2500;3000;Hard;Medium;Fauna;Carnivore O
Phy474;3;100;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pla475;3;10;NA;No;NA;NA;Vent;NA;1500;2000;1500;2000;Hard;High;Sediment or rock surface;Detritivore
Pli476;3;100;Sometimes;Yes;Bed forming;Low;Other CBE;Endosymbiont;1000;1500;2500;3000;Soft;Low;Symbiont;Bacterivore
Pli477;3;100;Sometimes;Yes;Bed forming;Low;Other CBE;Endosymbiont;500;1000;500;1000;Soft;Low;Symbiont;Bacterivore
Pod478;3;10;Never;No;Does not add;Low;Vent;None;1500;2000;1500;2000;Hard;Medium;Fauna;Carnivore O
Pol479;4;100;Never;No;Does not add;Low;No;NA;500;1000;2500;3000;Water column;Low;Fauna;Carnivore O
Pol480;4;1;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Pol481;3;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;NA;NA;Fauna;NA
Pri482;3;1;NA;NA;NA;NA;Vent;NA;1500;2000;2500;3000;NA;NA;NA;NA
Pri483;3;1;NA;NA;NA;NA;No;None;500;1000;500;1000;NA;Low;Sediment or rock surface;Detritivore
Pri484;3;10;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Water column;Detritivore
Pri485;4;10;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Water column;Medium;Sediment or rock surface;Bacterivore
Pro486;1;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;NA;NA;NA;NA
Pro487;3;10;Never;No;Does not add;High;Other CBE;None;500;1000;4000;4500;Hard;Low;Sediment or rock surface;Detritivore
Pro488;3;10;Never;No;Does not add;Low;Vent;None;500;1000;3000;3500;Hard;Low;Sediment or rock surface;Detritivore
Pro489;3;100;Sometimes;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Fauna;Carnivore O
Pro490;3;10;NA;NA;Does not add;NA;Vent;NA;1500;2000;2500;3000;NA;NA;Sediment or rock surface;Detritivore
Pro491;2;10;Always;No;Does not add;High;Vent;None;500;1000;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Pro492;3;10;Always;NA;Does not add;High;Vent;NA;2000;2500;2500;3000;NA;NA;Sediment or rock surface;Detritivore
Pro493;3;10;NA;No;Does not add;High;Other CBE;None;0;500;1500;2000;NA;NA;Sediment or rock surface;Detritivore
Pro494;2;10;Always;No;Does not add;Low;Vent;None;500;1000;1500;2000;Hard;Medium;Sediment or rock surface;Bacterivore
Pro495;3;10;Always;NA;Does not add;High;Vent;NA;2000;2500;2500;3000;NA;NA;Sediment or rock surface;Detritivore
Pro496;2;10;NA;NA;Does not add;NA;Vent;None;1000;2500;3500;4000;Hard;Medium;Sediment or rock surface;Detritivore
Pro497;3;10;NA;NA;Does not add;NA;Vent;NA;1500;2000;1500;2000;NA;NA;Sediment or rock surface;Detritivore
Pro498;3;10;Sometimes;NA;Does not add;NA;Vent;NA;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Pro499;2;10;Always;No;Does not add;High;Other CBE;None;500;1000;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Pro500;3;10;Sometimes;No;Does not add;High;Other CBE;None;0;500;2000;2500;Hard;Medium;Sediment or rock surface;Detritivore
Pse501;3;100;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;Fauna;NA
Pse502;3;10;Sometimes;No;Does not add;NA;Vent;NA;2500;3000;3500;4000;Hard;Medium;Sediment or rock surface;Detritivore
Pse503;3;10;Never;No;Does not add;High;Vent;None;1500;2000;4000;4500;Hard;High;Sediment or rock surface;Detritivore
Pse504;3;1;Always;No;Does not add;High;Other CBE;None;500;1000;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Pun505;2;10;Never;No;Does not add;Low;Vent;None;500;1000;1500;2000;Hard;Medium;Sediment or rock surface;Bacterivore
Pun506;2;10;Never;No;Does not add;Low;Vent;None;500;1000;1500;2000;Hard;Medium;Sediment or rock surface;Bacterivore
Pun507;3;10;NA;NA;Does not add;NA;Vent;NA;1000;1500;1000;1500;NA;NA;NA;NA
Pyr508;3;10;NA;No;Does not add;NA;Vent;NA;1000;1500;1000;1500;Hard;Medium;Sediment or rock surface;Detritivore
Pyr509;3;1;NA;No;Does not add;NA;Other CBE;NA;NA;NA;NA;NA;Hard;NA;NA;NA
Pyr510;2;10;Sometimes;No;Does not add;Low;Other CBE;None;1000;1500;2000;2500;Hard;Low;Sediment or rock surface;Detritivore
Pyr511;2;10;Sometimes;No;Does not add;Low;Vent;None;500;1000;1500;2000;Hard;Medium;Sediment or rock surface;Bacterivore
Rar512;3;10;Sometimes;NA;Does not add;High;Other CBE;NA;2000;2500;3000;3500;NA;NA;NA;NA
Ret513;3;10;NA;NA;NA;NA;Other CBE;None;0;500;4500;5000;NA;NA;Sediment or rock surface;Bacterivore
Rho514;4;10;NA;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;Medium;Sediment or rock surface;Bacterivore
Rho515;4;10;NA;NA;NA;High;Vent;NA;1000;1500;3500;4000;NA;NA;NA;NA
Rhy516;3;100;NA;No;Does not add;NA;Vent;None;1500;2000;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Rid517;1;1000;Always;Yes;Dense bush forming;High;Vent;Endosymbiont;1500;2000;2000;2500;Hard;High;Symbiont;Bacterivore
Rif518;1;1000;Always;Yes;Dense bush forming;High;Vent;Endosymbiont;2000;2500;2500;3000;Hard;High;Symbiont;Bacterivore
Rim519;4;100;Always;No;Does not add;High;Vent;Episymbiont;1500;2000;4000;4500;Hard;High;Fauna;Bacterivore
Rim520;4;100;Always;Yes;Does not add;High;Vent;Episymbiont;1500;2000;4000;4500;Hard;High;Symbiont;Bacterivore
Rim521;4;100;Always;No;Does not add;High;Vent;Episymbiont;2000;2500;4500;5000;Hard;High;Symbiont;Bacterivore
Rim522;4;100;Always;Yes;Does not add;High;Vent;Episymbiont;2000;2500;3000;3500;Hard;High;Symbiont;Bacterivore
Rim523;3;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;Hard;NA;NA;NA
Rim524;4;100;NA;No;NA;Low;Vent;None;1500;2000;3500;4000;Hard;Medium;Sediment or rock surface;Bacterivore
Rim525;4;100;Always;No;Does not add;High;Vent;None;1500;2000;2000;2500;Hard;High;Sediment or rock surface;Detritivore
Rim526;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Water column;Bacterivore
Sax527;3;100;NA;No;Does not add;NA;Vent;NA;2000;2500;2500;3000;Hard;Low;NA;NA
Scl528;1;100;Always;Yes;Dense bush forming;High;Other CBE;Endosymbiont;2000;2500;2000;2500;Soft;Medium;Symbiont;Bacterivore
Sco529;3;10;NA;No;NA;NA;Vent;NA;NA;NA;NA;NA;Soft;NA;Sediment or rock surface;Detritivore
Sco530;4;10;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Seb531;2;10;Sometimes;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Medium;Sediment or rock surface;Carnivore S
Seg532;3;100;Never;No;Does not add;Low;Vent;None;500;1000;4000;4500;Hard;High;Fauna;Carnivore S
Ser533;3;100;Sometimes;No;NA;High;Vent;NA;1000;1500;1000;1500;Hard;Medium;NA;NA
Ser534;3;10;NA;NA;NA;NA;Vent;NA;3500;4000;3500;4000;NA;NA;NA;NA
Ser535;3;100;Sometimes;NA;NA;NA;Vent;NA;1000;1500;2000;2500;Hard;Medium;NA;NA
Ser536;3;100;Sometimes;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;Hard;Medium;Fauna;Carnivore O
Ser537;3;100;Sometimes;NA;NA;NA;Vent;NA;2000;2500;2000;2500;Hard;Medium;NA;NA
Ser538;3;100;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Fauna;Bacterivore
Ser539;3;100;Never;No;Does not add;Low;Vent;None;500;1000;4000;4500;Hard;Medium;Fauna;Carnivore O
Ser540;3;NA;NA;NA;NA;NA;No;NA;0;500;3000;3500;NA;NA;Fauna;Carnivore S
Ser541;3;100;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Ser542;3;100;Sometimes;No;Does not add;High;Vent;None;1500;2000;3000;3500;Hard;Medium;Sediment or rock surface;Carnivore O
Shi543;1;100;Sometimes;No;Does not add;Low;Vent;None;1000;1500;1000;1500;Hard;Low;Fauna;NA
Shi544;1;100;NA;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;Low;Fauna;NA
Shi545;3;100;Always;No;Does not add;High;Other CBE;Episymbiont;500;1000;1000;1500;Soft;Medium;Sediment or rock surface;Bacterivore
Shi546;3;100;Always;Yes;Does not add;High;Vent;None;0;500;1000;1500;Hard;High;Fauna;NA
Shi547;3;10;Never;No;Does not add;Low;Vent;None;500;1000;4000;4500;Hard;Medium;Sediment or rock surface;Bacterivore
Shi548;2;10;Sometimes;No;Does not add;High;Vent;None;0;500;1000;1500;Hard;Medium;Sediment or rock surface;Bacterivore
Shi549;2;10;Sometimes;No;Does not add;High;Vent;None;0;500;1500;2000;Hard;Medium;Sediment or rock surface;Bacterivore
Shi550;2;100;Never;No;Does not add;Low;Vent;None;2000;2500;3000;3500;Hard;Medium;Sediment or rock surface;Bacterivore
Shi551;3;10;Sometimes;No;Does not add;Low;Vent;None;1000;1500;2500;3000;Hard;High;Sediment or rock surface;Detritivore
Sim552;4;1000;Never;No;Does not add;Low;No;NA;0;500;2500;3000;Water column;Low;Fauna;Carnivore S
Sip553;1;100;Always;Yes;Open bush forming;NA;Vent;Endosymbiont;NA;NA;NA;NA;Soft;Medium;Symbiont;Bacterivore
Sir554;3;100;NA;NA;NA;High;Vent;None;1500;2000;2000;2500;Soft;NA;Fauna;Carnivore O
Sir555;3;10;NA;NA;NA;Low;Other CBE;NA;3500;4000;5001;NA;NA;NA;NA;NA
Ske556;3;1;Always;No;Does not add;High;Other CBE;NA;1000;1500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Ske557;3;1;Always;No;Does not add;Low;Vent;NA;2000;2500;2000;2500;Hard;Medium;Sediment or rock surface;Bacterivore
Sma558;4;1;NA;No;Does not add;NA;No;None;2000;2500;2500;3000;Hard;Low;NA;NA
Sol559;2;100;Never;No;Burrow forming;Low;Vent;Endosymbiont;1000;1500;1500;2000;Soft;Low;Symbiont;Bacterivore
Sol560;3;1;NA;No;Does not add;NA;Vent;NA;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Sph561;4;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Soft;Medium;Sediment or rock surface;Detritivore
Sph562;3;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Fauna;Carnivore O
Spi563;2;100;Never;No;Burrow forming;Low;Vent;Endosymbiont;1000;1500;1000;1500;Soft;Medium;Symbiont;Bacterivore
Spi564;3;10;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore S
Ste565;3;1;Sometimes;No;Does not add;Low;Vent;None;3000;3500;3500;4000;Hard;Medium;Fauna;Carnivore S
Ste566;3;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Low;Sediment or rock surface;NA
Ste567;3;10;Sometimes;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;Medium;NA;NA
Ste568;3;1;Sometimes;No;Does not add;Low;Vent;None;2500;3000;2500;3000;Hard;Medium;NA;NA
Ste569;3;10;Sometimes;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;Medium;NA;NA
Ste570;4;100;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Low;Fauna;Carnivore S
Sty571;4;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Sty572;4;10;NA;No;NA;NA;Vent;NA;1500;2000;3500;4000;Water column;NA;NA;NA
Sty573;4;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Sty574;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty575;4;10;NA;No;Does not add;High;Vent;None;1000;1500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Sty576;4;10;Sometimes;No;Does not add;High;No;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Sty577;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty578;4;10;NA;No;NA;NA;Vent;NA;1500;2000;2500;3000;Water column;NA;NA;NA
Sty579;4;10;Never;No;Does not add;High;Vent;None;3000;3500;3000;3500;Hard;High;Sediment or rock surface;Bacterivore
Sty580;4;10;NA;No;Does not add;High;Vent;None;1000;1500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Sty581;4;10;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Sty582;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty583;4;10;NA;No;Does not add;High;Vent;None;1000;1500;3000;3500;Hard;High;Sediment or rock surface;Bacterivore
Sty584;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty585;4;10;Never;No;Does not add;High;Vent;None;500;1000;3000;3500;Hard;High;Sediment or rock surface;Bacterivore
Sty586;4;10;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Sty587;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty588;4;10;NA;No;Does not add;High;Vent;None;1500;2000;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty589;4;10;Never;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;High;Sediment or rock surface;Bacterivore
Sty590;4;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Sut591;3;10;Never;No;Does not add;High;Vent;None;1500;2000;4000;4500;Hard;Medium;Sediment or rock surface;Detritivore
Syc592;1;10;Sometimes;No;Does not add;Low;No;NA;0;500;3500;4000;Soft;Medium;Water column;NA
Sym593;3;10;Always;NA;Mat forming;High;Vent;Endosymbiont;2000;2500;2000;2500;Hard;High;Symbiont;Bacterivore
Sym594;3;10;Always;NA;Mat forming;High;Vent;Endosymbiont;3500;4000;3500;4000;Hard;High;Symbiont;Bacterivore
Sym595;4;100;Always;No;Does not add;High;Vent;None;0;500;500;1000;Soft;High;Fauna;Carnivore O
Sym596;4;100;Always;No;Does not add;High;Vent;None;500;1000;1000;1500;Soft;Medium;Fauna;Carnivore O
Syn597;4;1000;Never;No;Does not add;Low;No;NA;0;500;4500;5000;Water column;Low;Fauna;Carnivore O
Tec598;4;10;Never;No;Does not add;Low;Vent;None;2500;3000;2500;3000;Hard;Low;Fauna;Carnivore S
Tec599;4;10;Never;No;Does not add;Low;Vent;None;2500;3000;2500;3000;Hard;Low;Fauna;Carnivore S
Tem600;2;1;NA;No;NA;NA;Vent;None;1500;2000;2000;2500;NA;NA;Sediment or rock surface;Detritivore
Tem601;3;1;Never;No;Does not add;NA;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Tev602;1;100;Always;Yes;Dense bush forming;High;Vent;Endosymbiont;2000;2500;2500;3000;Hard;High;Symbiont;Bacterivore
Tha603;3;1;NA;NA;NA;NA;No;NA;1500;2000;1500;2000;NA;NA;Fauna;Carnivore O
Tha604;3;1;NA;No;Does not add;High;No;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Tha605;3;1;NA;No;Does not add;Low;Vent;None;1500;2000;1500;2000;Hard;Medium;NA;NA
The606;4;10;Always;No;Does not add;High;No;NA;500;1000;2000;2500;Water column;Medium;Fauna;Carnivore O
The607;3;100;Sometimes;No;NA;NA;Vent;None;1500;2000;2000;2500;Hard;Medium;Fauna;Carnivore S
The608;4;1000;NA;No;Does not add;NA;Vent;None;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
The609;4;100;Never;No;Does not add;Low;Vent;Episymbiont;1500;2000;2500;3000;Hard;Low;Fauna;Carnivore O
The610;4;100;Never;No;Does not add;Low;Vent;None;1500;2000;2500;3000;Hard;Low;Fauna;Carnivore O
The611;4;1000;NA;No;Does not add;NA;Vent;None;1500;2000;1500;2000;Water column;High;NA;NA
The612;2;10;Never;No;Does not add;Low;Vent;None;500;1000;1000;1500;Hard;Medium;Sediment or rock surface;Bacterivore
The613;1;100;Always;Yes;Open bush forming;High;Vent;NA;NA;NA;NA;NA;Hard;Low;NA;NA
The614;3;100;Never;No;Does not add;Low;Vent;None;1000;1500;2500;3000;Hard;High;Fauna;Carnivore O
The615;3;1000;Sometimes;No;Does not add;Low;No;None;500;1000;2500;3000;Hard;Medium;Fauna;Carnivore O
Tho616;4;1;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Tho617;4;1;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Tho618;4;1;Never;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;Medium;Fauna;Detritivore
Thr619;3;NA;NA;No;NA;NA;No;None;1500;2000;2000;2500;Hard;NA;NA;NA
Thy620;2;100;Never;No;Burrow forming;Low;Vent;Endosymbiont;3000;3500;3000;3500;Soft;Low;Symbiont;Bacterivore
Tin621;3;100;NA;NA;NA;NA;Vent;None;1500;2000;2000;2500;Soft;NA;Sediment or rock surface;Detritivore
Tra622;4;1000;Never;No;Does not add;Low;No;None;0;500;2000;2500;Hard;High;Fauna;Carnivore O
Tra623;4;10;Never;No;Does not add;Low;Vent;None;2500;3000;2500;3000;Hard;Low;Fauna;Carnivore S
Upt624;2;1;NA;No;NA;NA;Vent;None;NA;NA;NA;NA;NA;NA;Sediment or rock surface;Detritivore
Uro625;4;10;NA;NA;NA;NA;Vent;NA;2000;2500;2500;3000;NA;NA;NA;NA
Uro626;4;10;NA;NA;NA;NA;Vent;NA;2000;2500;2000;2500;NA;Medium;NA;NA
Urt627;1;100;Always;Yes;Bed forming;High;No;NA;0;500;500;1000;Hard;High;Fauna;Carnivore O
Vel628;3;100;Never;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;Low;Sediment or rock surface;Detritivore
Ven629;4;10;Always;No;Does not add;High;Vent;Episymbiont;2000;2500;2500;3000;Hard;High;Fauna;Carnivore S
Ven630;3;10;NA;NA;NA;NA;Vent;None;1500;2000;1500;2000;NA;Low;NA;NA
Vul631;1;1000;Always;Yes;Bed forming;High;Vent;Endosymbiont;0;500;0;500;Hard;Medium;Symbiont;Bacterivore
Vul632;4;100;NA;No;NA;NA;Vent;NA;2500;3000;2500;3000;Hard;High;Fauna;Carnivore O
Vul633;1;1000;Always;Yes;Open bush forming;High;Vent;Episymbiont;1000;1500;1500;2000;Hard;Medium;Symbiont;Detritivore
Vul634;1;100;Always;No;Does not add;High;Vent;None;1000;1500;2000;2500;Hard;Medium;Water column;Detritivore
Wai635;3;100;Sometimes;Yes;Bed forming;Low;Other CBE;Endosymbiont;1000;1500;1000;1500;Soft;Low;Symbiont;Bacterivore
War636;3;100;Sometimes;Yes;Bed forming;High;Vent;Endosymbiont;1000;1500;2000;2500;Soft;Low;Symbiont;Bacterivore
Xan637;2;10;NA;No;NA;NA;Vent;NA;NA;NA;NA;NA;Hard;NA;Sediment or rock surface;Detritivore
Xen638;3;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Sediment or rock surface;NA
Xen639;3;100;Never;No;Does not add;Low;Vent;None;0;500;0;500;Hard;Medium;Fauna;Carnivore S
Xen640;3;10;NA;NA;NA;NA;Vent;Endosymbiont;0;500;0;500;Hard;NA;Symbiont;Bacterivore
Xyl641;3;1;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Symbiont;Bacterivore
Xyl642;3;10;Never;No;Does not add;High;Vent;None;500;1000;2000;2500;Hard;Medium;Sediment or rock surface;Detritivore
Xyl643;3;10;NA;NA;NA;NA;Vent;None;2000;2500;2000;2500;NA;NA;NA;NA
Xyl644;4;1;NA;No;Does not add;NA;No;None;2000;2500;2500;3000;Hard;Medium;NA;NA
Zyg645;1;100;Always;Yes;Open bush forming;High;Vent;NA;500;1000;1500;2000;NA;Low;NA;NA
Arc646;3;1000;Sometimes;Yes;Bed forming;High;Vent;Endosymbiont;1000;1500;1000;1500;Hard;Medium;Symbiont;Bacterivore